Codes,Names,over65,Workingage,Couple_househol_ with_dependent_children,Couple_household_without_dependent_children,One_person_household,Other_multi_person_household,Good_health,Fair_health,Bad_health,No_cars,car1,car2,No_qualifications,Level_1_qualifications,Level_2_qualifications, Apprenticeship,Level_3_qualifications,Level_4_qualifications_and_above,Other_qualifications,Employment Rate,Unemployment Rate,Economically_active_rate,Economically_inactive_rate,lntheft
E01000098,Barking and Dagenham 023D,9.28,63.8,21.8,20.8,23.5,11.2,79.4,13.6,7,35,45.8,15.5,30.5,16.5,15.9,1.6,8.8,17.3,9.4,54.1,13.6,45.99,21.94,3.81
E01000099,Barking and Dagenham 023E,10.91,63.16,24.9,21.9,24.6,9.5,79.3,14.2,6.5,34.5,44.6,16.5,30.9,17.1,13.6,2.4,9.6,18.2,8.2,59,11,47.75,21.02,1.85
E01000100,Barking and Dagenham 004B,10.83,61.52,22.8,21.1,25.2,10.9,79.7,14,6.4,37.4,43.9,15.6,30.3,15.6,17.3,2.6,9.1,16.4,8.7,55.3,12.7,45.67,21.72,1.29
E01000101,Barking and Dagenham 004C,10.77,65.1,22.8,21.2,25.4,12.9,78.3,12.6,9.2,37,45.1,14.3,32.2,16.6,13.7,2.2,8.9,18.3,8.1,57.6,8.7,47.26,23.99,2.84
E01000102,Barking and Dagenham 007G,12.79,62.34,22.1,19.7,29.4,9.8,78.8,14,7.3,36.8,45.9,14.6,32,13.5,15,1.6,10.6,18.6,8.7,56.9,11.3,46.04,22.6,1.51
E01000103,Barking and Dagenham 014A,7.6,66.05,19.3,18.5,22.8,15.3,83,10.9,6.1,35.7,46.7,14.8,29.6,16.4,14.9,1.8,8.1,20.6,8.6,53.6,12.8,47.6,22.37,1.68
E01000104,Barking and Dagenham 014B,7.86,64.01,17.1,14.5,38,9.6,83.2,10.9,5.9,46,42.1,10.3,28.3,18.1,19.5,2.7,9.5,14.5,7.5,53.1,15.7,46.83,21.45,2.76
E01000105,Barking and Dagenham 014C,12.54,62.19,17.4,18,36,8.5,77.3,16.5,6.2,53.1,36.2,9.4,35.1,15.4,15.1,2.1,7.7,17.3,7.3,52.5,15.3,44.39,23.3,3.81
E01000106,Barking and Dagenham 014D,11.28,63.57,14.5,17.1,42.9,6.8,77.5,15.4,7,53.9,36.4,7.6,28.2,15.4,16.6,3.2,8.3,19.6,8.8,53.1,11.7,44.31,24.54,2.37
E01000107,Barking and Dagenham 010C,16.93,59.96,20.6,29.6,21.8,10.5,79.6,14.5,5.9,26.5,49.6,17.6,33.6,14.5,16.3,3.4,7.9,15.5,8.9,58.9,9.3,46.52,20.53,1.69
E01000108,Barking and Dagenham 010D,11.68,67.2,16.9,29,29.9,8,82.8,12.1,5.1,34.4,44.6,16.3,26.3,16.7,15.5,3.7,11.7,19.6,6.4,61.4,9.4,53.4,20.8,2.39
E01000109,Barking and Dagenham 004D,10.38,64.83,21.9,24.8,24.5,10.5,83.2,12.2,4.6,29.4,46.4,19.7,25.3,17,16.2,2.4,10.9,19,9.1,59.6,10,49.35,21.23,2.12
E01000110,Barking and Dagenham 002C,13.77,65.4,22.4,32.5,18.4,12.8,81.1,13.8,5,19.2,48.5,26.5,22,13.7,19,2.1,9.7,26.2,7.2,62.8,7.3,51.98,20.48,0.35
E01000111,Barking and Dagenham 002D,13.26,62.79,18.6,21.7,30.7,11.9,81.9,12.9,5.1,36.9,45.5,14.2,28.5,15.5,13.9,2.4,10.1,20.1,9.5,57.3,10.3,46.7,21.82,3.16
E01000112,Barking and Dagenham 002E,11.01,67.4,18.4,23.7,28.8,12.6,82.7,12.3,4.9,35.6,44.7,14.9,22.1,14.6,14.9,2,12.3,24.7,9.5,62.3,9,52.11,20.42,2.46
E01000113,Barking and Dagenham 002F,10.3,65.63,21.8,22.1,26.7,14.7,83.7,11.7,4.6,35.9,44.5,15.6,18,16.4,14.9,2.4,11,26.1,11.1,61.9,9.6,51.34,19.89,3.09
E01000114,Barking and Dagenham 004E,11.44,62.68,21.4,26.8,23.1,11.1,82.7,12.2,5.2,29,44.3,20.4,27.2,14.1,17.3,3,11.1,19,8.3,59.6,6.5,47.51,21.87,3.11
E01000115,Barnet 009A,17.92,63.07,30.9,37.9,14.4,9.1,85.3,11.3,3.4,8.9,31.5,47,16.3,9.6,15.3,1.4,13.7,37.2,6.5,63.5,4.3,50.07,21.77,1.21
E01000116,Barnet 009B,14.44,63.27,30.7,31,20.9,9.3,84.5,11.6,3.9,15.2,45.3,31.9,16.8,11.1,16,3,12.7,33,7.4,68.4,4.1,53.14,18.34,2.29
E01000117,Barnet 010A,19.13,63.44,21,32.5,28.2,8.1,81.4,13.5,5.1,19.6,49.7,22,19.2,9.7,16.2,3.3,10.9,33.3,7.5,65.5,7.1,52.5,19.74,1.19
E01000118,Barnet 010B,12.91,65.19,26.7,27.5,23.3,10.2,85.4,11,3.7,16.1,48,28.6,16.5,12.6,15.2,2.6,11.4,33.7,7.9,66.8,7.5,54.08,17.72,0.73
E01000119,Barnet 009C,16.55,64.05,25.4,34.1,20.3,10.2,82.7,12.3,5.1,13.5,45.5,32,18.2,9.4,11.2,1,11.2,39.9,9.2,62.3,5.8,50.24,23.63,1.09
E01000120,Barnet 009D,17.02,62.17,28.1,35.6,17.2,12.9,84.7,10.8,4.5,10.3,44.2,33.1,16.7,11,13.1,1.8,12.2,38.4,6.9,61.9,4.3,49,22.87,1.79
E01000121,Barnet 010C,13.49,61.06,23.4,15.4,24.6,8.4,75.4,16.1,8.6,29.5,45.1,21,26.3,15.6,16.7,1.7,10.4,21.9,7.4,53.1,11.8,41.75,24.25,0.7
E01000122,Barnet 009E,13.46,66.28,27.2,28.9,23.6,11.1,85.2,11.1,3.6,16.1,42.5,29.1,13.1,10.7,13.9,2.1,11.2,40,9,67.1,4.7,53.57,20.39,0.31
E01000123,Barnet 010D,9.62,71.45,19.6,26.3,31.4,10.4,85.9,9.9,4.3,21.5,52.6,20.6,15.4,13.6,14.2,2.4,12.2,33.9,8.4,67.7,7.5,58.77,18.33,2.06
E01000124,Barnet 010E,9.69,69.22,17.3,20.8,32.7,13.8,82.6,12.5,4.9,37.7,47.6,12.9,16.5,12,12.5,1.7,11.4,32.1,13.8,62.4,8.4,53.36,21.04,4.64
E01000125,Barnet 024A,9.93,65.85,18.5,16.6,30.5,15.5,80.7,12.6,6.7,42.7,45.6,9.9,24.6,12.8,11.2,1.8,9.3,25.8,14.6,56.9,9.2,47.5,22.92,2.31
E01000126,Barnet 026A,5.55,65.86,22.3,16.8,23.8,15.3,84.3,10.5,5.2,36,45.7,14.6,18.6,12.6,14.2,0.6,11.1,28.4,14.3,54,11.6,46.9,21.79,2.27
E01000127,Barnet 024B,8.44,67.51,21.2,19.8,19.8,17.5,82.5,11.5,6,42,39.1,16.3,24.1,13.7,14.1,2,7.9,24.8,13.4,58.5,9.8,49.63,21.73,2.3
