LSOA11CD,LSOA11NM,crime_sum
E01000712,Bromley 012A,84
E01000713,Bromley 012B,88
E01000714,Bromley 006D,456
E01000715,Bromley 012C,79
E01000716,Bromley 011C,92
E01000717,Bromley 011D,79
E01000718,Bromley 006E,113
E01000719,Bromley 019A,339
E01000720,Bromley 019B,124
E01000721,Bromley 019C,127
E01000722,Bromley 023A,233
E01000723,Bromley 029A,40
E01000724,Bromley 019D,111
E01000725,Bromley 023B,112
E01000726,Bromley 029B,83
E01000727,Bromley 028A,163
E01000728,Bromley 019E,223
E01000729,Bromley 014A,271
E01000730,Bromley 014B,184
E01000731,Bromley 023C,91
E01000732,Bromley 023D,61
E01000733,Bromley 023E,82
E01000734,Bromley 028B,39
E01000735,Bromley 014C,101
E01000736,Bromley 010C,85
E01000737,Bromley 010D,114
E01000738,Bromley 014D,157
E01000739,Bromley 014E,158
E01000740,Bromley 005A,231
E01000741,Bromley 005B,143
E01000742,Bromley 005C,125
E01000743,Bromley 009A,151
E01000744,Bromley 009B,119
E01000745,Bromley 005D,143
E01000746,Bromley 005E,109
E01000747,Bromley 042B,112
E01000748,Bromley 042C,67
E01000749,Bromley 036A,69
E01000750,Bromley 036B,92
E01000751,Bromley 036C,156
E01000752,Bromley 036D,103
E01000753,Bromley 031A,44
E01000754,Bromley 031B,57
E01000755,Bromley 031C,28
E01000756,Bromley 033D,199
E01000757,Bromley 031D,34
E01000758,Bromley 031E,48
E01000759,Bromley 034A,51
E01000760,Bromley 034B,78
E01000761,Bromley 034C,41
E01000762,Bromley 018D,63
E01000763,Bromley 027A,42
E01000764,Bromley 027B,98
E01000765,Bromley 034D,171
E01000766,Bromley 027C,32
E01000767,Bromley 027D,60
E01000768,Bromley 034E,79
E01000769,Bromley 024A,310
E01000770,Bromley 012D,83
E01000771,Bromley 041C,100
E01000772,Bromley 012E,63
E01000773,Bromley 024B,52
E01000774,Bromley 041D,111
E01000775,Bromley 024C,129
E01000777,Bromley 024D,57
E01000778,Bromley 024E,93
E01000779,Bromley 001A,251
E01000780,Bromley 001B,117
E01000781,Bromley 001C,121
E01000782,Bromley 001D,129
E01000783,Bromley 001E,119
E01000784,Bromley 002E,60
E01000785,Bromley 001F,129
E01000786,Bromley 032A,139
E01000787,Bromley 029C,87
E01000788,Bromley 029D,85
E01000789,Bromley 032B,159
E01000790,Bromley 028C,450
E01000791,Bromley 029E,56
E01000792,Bromley 032C,80
E01000793,Bromley 032D,41
E01000794,Bromley 035E,41
E01000795,Bromley 032E,71
E01000796,Bromley 009C,154
E01000797,Bromley 013E,288
E01000798,Bromley 009D,134
E01000799,Bromley 004A,370
E01000800,Bromley 009E,175
E01000801,Bromley 015E,92
E01000802,Bromley 004B,124
E01000803,Bromley 004C,95
E01000804,Bromley 004D,117
E01000805,Bromley 004E,129
E01000806,Bromley 009F,187
E01000807,Bromley 022C,141
E01000808,Bromley 025A,45
E01000809,Bromley 022D,44
E01000810,Bromley 025B,37
E01000811,Bromley 025C,35
E01000812,Bromley 028D,74
E01000813,Bromley 025D,119
E01000814,Bromley 028E,41
E01000815,Bromley 025E,43
E01000816,Bromley 040A,62
E01000818,Bromley 040B,56
E01000819,Bromley 040C,206
E01000820,Bromley 008C,171
E01000822,Bromley 008D,78
E01000823,Bromley 008E,91
E01000824,Bromley 008F,86
E01000825,Bromley 008G,87
E01000826,Bromley 021A,53
E01000827,Bromley 021B,116
E01000828,Bromley 011E,72
E01000829,Bromley 018E,50
E01000830,Bromley 021C,61
E01000831,Bromley 021D,47
E01000832,Bromley 030A,71
E01000833,Bromley 021E,46
E01000834,Bromley 027E,26
E01000835,Bromley 030B,161
E01000836,Bromley 030C,39
E01000837,Bromley 030D,57
E01000838,Bromley 030E,51
E01000839,Bromley 030F,30
